Key,English(en),Spanish(es),Japanese(ja)
MuM_Panel_03 (D),Some minerals are in the wrong buckets.,Algunos minerales son en los botes incorrectos. ,違うバケツにミネラルがある
MuM_Panel_04 (D),No order matched.,Ninguna orden se igualan. ,並んでいません
MuM_Panel_05,Submit,Entregar,エンター
MuM_Lever_01 (D),Easy,Facil,イージー 
MuM_Lever_02 (D),Hard,Dificil,ハード
MuM_StructureLevel_01 (D),Cubic,Cúbico,立方
MuM_StructureLevel_02 (D),Tetragonal,Tetragonal,正方
MuM_StructureLevel_03 (D),Hexagonal,Hexagonal,六方
MuM_StructureLevel_04 (D),Thombohedral,Romboédrico,りょう面体
MuM_StructureLevel_05 (D),Orthorhombic,Ortorrómbica,直方
MuM_StructureLevel_06 (D),Monoclinic,Monoclínica,単斜
MuM_StructureLevel_07 (D),Triclinic,Triclínica,三斜
MuM_Reader_01 (D),Mineral:,Mineral:,ミネラル：
MuM_Reader_02 (D),Hardness:,Dureza:,硬さ：
MuM_Reader_03 (D),Structure:,Estructura:,構造：
<<<<<<< Updated upstream
MuM_Home,Home,,
MuM_HowToPlay,How To Play,,
MuM_LearnMore,Learn More,,
MuM_SortByHardness,Sort by Hardness,,
MuM_SortByHardness,Sort by Crystal Structure,,
=======
MuM_Home,Home,Inicio,ホーム
MuM_HowToPlay,How To Play,Cómo Jugar,やり方
MuM_LearnMore,Learn More,Aprende Más,詳細にこちら
MuM_SortByHardness,Sort by Hardness,Clasificar por Dureza,硬さに並ぶ
MuM_SortByHardness,Sort by Crystal Structure,Clasificar por Estructura Cristalina,結晶構造に並ぶ
>>>>>>> Stashed changes
